z1,z2,z3
7619.0,6567.0,4470.0
9706.0,4619.0,9429.0
4655.0,9371.0,9265.0
8805.0,4679.0,9968.0
10009.0,4619.0,9312.0
4735.0,9120.0,9516.0
9579.0,4682.0,9286.0
9742.0,4800.0,8819.0
4741.0,9503.0,8892.0
4843.0,9063.0,8979.0
4926.0,8742.0,9094.0
4792.0,9743.0,8545.0
9584.0,4819.0,8763.0
8657.0,4686.0,10415.0
10405.0,4841.0,8751.0
9975.0,4904.0,8725.0
4934.0,8446.0,9453.0
9845.0,4972.0,8307.0
8401.0,4759.0,10101.0
4833.0,9484.0,8453.0
4848.0,9893.0,8450.0
4883.0,9662.0,8335.0
4979.0,7533.0,10564.0
8253.0,4766.0,10548.0
4924.0,9403.0,8243.0
9843.0,4975.0,8295.0
10040.0,5094.0,7712.0
7936.0,4896.0,9598.0
4939.0,9812.0,8240.0
4953.0,9727.0,8129.0
4965.0,9952.0,7583.0
7695.0,4909.0,9859.0
10038.0,5097.0,7700.0
6998.0,5272.0,7069.0
7633.0,4945.0,9608.0
7212.0,4960.0,10031.0
7307.0,9905.0,5334.0
5093.0,9994.0,7536.0
5105.0,9970.0,7528.0
5075.0,7044.0,10823.0
5154.0,10053.0,7176.0
7130.0,9378.0,5510.0
7150.0,4996.0,9780.0
5199.0,7536.0,5804.0
7027.0,5025.0,10248.0
7128.0,9058.0,5627.0
7011.0,9200.0,5638.0
10197.0,5482.0,6972.0
5279.0,6930.0,10692.0
6980.0,5060.0,9991.0
6909.0,9628.0,5716.0
6965.0,5061.0,9997.0
6767.0,5492.0,5784.0
6544.0,5076.0,10420.0
5339.0,6706.0,6569.0
5610.0,6063.0,6592.0
10469.0,6340.0,5614.0
6482.0,5112.0,10169.0
6176.0,5432.0,10441.0
10469.0,6281.0,5672.0
10292.0,5974.0,5776.0
6115.0,5498.0,10700.0
5733.0,5522.0,7536.0
9276.0,4682.0,9403.0
8828.0,4693.0,9851.0
8680.0,4700.0,10298.0
9272.0,4722.0,9831.0
9105.0,4759.0,9475.0
9420.0,4715.0,9384.0
9240.0,4829.0,9342.0
8947.0,4778.0,9419.0
9013.0,4843.0,8923.0
5013.0,8416.0,9303.0
4802.0,9322.0,9071.0
8424.0,4773.0,9984.0
5025.0,7659.0,10227.0
4821.0,9252.0,9143.0
8276.0,4780.0,10431.0
8934.0,4815.0,9546.0
8776.0,4834.0,9490.0
8492.0,4847.0,9432.0
9231.0,4983.0,8683.0
5086.0,7815.0,10017.0
9571.0,4856.0,8890.0
9567.0,4986.0,8541.0
8937.0,4829.0,9459.0
9413.0,4875.0,8834.0
4858.0,9472.0,8976.0
4893.0,9241.0,8861.0
8457.0,4892.0,9089.0
5102.0,7950.0,9758.0
9409.0,5005.0,8485.0
8465.0,4914.0,8918.0
9744.0,5078.0,8328.0
4934.0,8982.0,8769.0
9974.0,5181.0,8015.0
4899.0,9213.0,8884.0
9816.0,5200.0,7959.0
9372.0,5110.0,8449.0
5005.0,8712.0,8944.0
4949.0,9391.0,8766.0
4990.0,9132.0,8674.0
9741.0,5111.0,8405.0
9191.0,4986.0,8897.0
9370.0,5113.0,8437.0
9739.0,5114.0,8393.0
9573.0,5134.0,8399.0
9083.0,5053.0,8637.0
5120.0,7937.0,9720.0
8735.0,5049.0,8899.0
5132.0,7941.0,9680.0
9480.0,5213.0,8194.0
9396.0,5042.0,8612.0
4993.0,8751.0,9083.0
4889.0,9634.0,8358.0
5004.0,9308.0,8537.0
5121.0,7170.0,10486.0
5150.0,8396.0,9304.0
5168.0,8383.0,9266.0
7944.0,4918.0,9427.0
9238.0,5061.0,8556.0
5170.0,8229.0,8883.0
5049.0,8543.0,9291.0
5091.0,8701.0,9156.0
4994.0,9729.0,8011.0
5096.0,8646.0,8865.0
8703.0,5071.0,8851.0
9503.0,5190.0,8420.0
5045.0,9049.0,8445.0
8928.0,5211.0,8405.0
9263.0,5104.0,8531.0
9803.0,5237.0,8086.0
8980.0,5085.0,8572.0
5114.0,8619.0,8891.0
9604.0,5245.0,8187.0
5182.0,7326.0,10276.0
5033.0,9335.0,8476.0
9727.0,5245.0,8106.0
4980.0,9553.0,8148.0
5141.0,8521.0,8900.0
8775.0,5189.0,8485.0
10014.0,5206.0,7952.0
9936.0,5233.0,7810.0
5034.0,9827.0,8006.0
7909.0,4963.0,9084.0
8975.0,5246.0,8370.0
5035.0,9470.0,7919.0
5183.0,8181.0,9652.0
9645.0,5256.0,8030.0
5098.0,8966.0,8748.0
5196.0,7868.0,9496.0
5131.0,8942.0,8374.0
8702.0,5137.0,8691.0
5186.0,8067.0,9471.0
5070.0,8988.0,8335.0
9131.0,5251.0,8218.0
5152.0,8438.0,9073.0
5150.0,8596.0,8682.0
8807.0,5167.0,8533.0
9934.0,5236.0,7798.0
9569.0,5264.0,8050.0
5050.0,9879.0,7916.0
5075.0,9568.0,7914.0
5082.0,9213.0,7789.0
5023.0,9534.0,8193.0
9495.0,5268.0,8186.0
8650.0,5151.0,8582.0
5150.0,8839.0,8593.0
5126.0,9389.0,7709.0
5228.0,7452.0,9939.0
5155.0,8454.0,8796.0
8219.0,5188.0,8863.0
8334.0,5046.0,8997.0
5152.0,8881.0,8399.0
5322.0,7213.0,10368.0
5136.0,8968.0,8235.0
5162.0,8821.0,8136.0
5141.0,9798.0,7706.0
5147.0,9824.0,7558.0
8403.0,5219.0,8670.0
5325.0,7056.0,10355.0
7388.0,4967.0,9593.0
5156.0,8871.0,8397.0
8093.0,5145.0,8990.0
7501.0,5056.0,9482.0
8542.0,5261.0,8482.0
5159.0,9800.0,7550.0
5166.0,9487.0,7704.0
5170.0,9702.0,7663.0
7567.0,9603.0,5454.0
5182.0,9539.0,7614.0
8534.0,5239.0,8653.0
7518.0,5087.0,9474.0
7519.0,8990.0,5485.0
7851.0,5097.0,9169.0
5267.0,7499.0,9831.0
5285.0,7486.0,9793.0
7477.0,5104.0,9462.0
7666.0,5162.0,9386.0
8522.0,5263.0,8601.0
7537.0,5194.0,9156.0
8034.0,5253.0,9080.0
8021.0,5265.0,8991.0
6956.0,5108.0,9971.0
7333.0,5152.0,9691.0
7183.0,5213.0,9558.0
7016.0,5198.0,9665.0
7476.0,5260.0,9415.0
7069.0,5197.0,9860.0
6912.0,5167.0,10114.0
7424.0,9166.0,5540.0
6850.0,5203.0,9863.0
6608.0,5291.0,10063.0
7400.0,8812.0,5613.0
6966.0,5393.0,9847.0
6584.0,5339.0,10043.0
7517.0,8670.0,5602.0
6991.0,5418.0,9583.0
6806.0,5483.0,9800.0
6697.0,5428.0,9932.0
9960.0,6518.0,5632.0
9960.0,6459.0,5690.0
6385.0,5498.0,10223.0
10225.0,6445.0,5770.0
6966.0,9431.0,5731.0
9899.0,6322.0,5772.0
6583.0,5495.0,9996.0
7355.0,9043.0,5706.0
7398.0,8492.0,5730.0
7009.0,8880.0,5755.0
6298.0,5509.0,10236.0
5387.0,7318.0,6122.0
6280.0,6231.0,6409.0
