z1,z2,z3
8682.0,8306.0,3714.0
6375.0,3516.0,6343.0
4064.0,4843.0,6881.0
8231.0,9017.0,3763.0
8784.0,7756.0,3930.0
8216.0,9110.0,4252.0
7728.0,9334.0,4319.0
8711.0,7592.0,4070.0
7707.0,8611.0,4398.0
5669.0,5638.0,4399.0
8815.0,7387.0,4157.0
8813.0,7042.0,4286.0
9150.0,6662.0,4335.0
4938.0,5686.0,5132.0
9053.0,6657.0,4365.0
5058.0,3656.0,7253.0
6256.0,4295.0,5394.0
6890.0,4594.0,4546.0
4273.0,4707.0,7206.0
8333.0,8467.0,3979.0
8031.0,8788.0,4343.0
8262.0,8648.0,3990.0
8221.0,7597.0,4343.0
7829.0,8841.0,4360.0
8260.0,8303.0,4119.0
8713.0,7937.0,3941.0
8364.0,8098.0,4206.0
8132.0,8295.0,4384.0
8571.0,7958.0,4330.0
8362.0,7753.0,4335.0
8742.0,7223.0,4297.0
8629.0,7489.0,4351.0
8446.0,7442.0,4369.0
6597.0,5470.0,4850.0
