z1,z2,z3
8625.0,8348.0,3780.0
8889.0,4131.0,7477.0
4059.0,6470.0,5220.0
8254.0,4299.0,8115.0
8584.0,8503.0,3813.0
8508.0,8305.0,3838.0
8223.0,8337.0,3839.0
9383.0,7870.0,3792.0
7660.0,4305.0,8963.0
8210.0,8437.0,3875.0
8106.0,8294.0,3897.0
8078.0,8466.0,3940.0
8026.0,8597.0,3984.0
7907.0,9034.0,4001.0
7624.0,8586.0,4043.0
9266.0,7827.0,3850.0
8864.0,7816.0,3909.0
9623.0,7561.0,3992.0
7468.0,4345.0,4695.0
7507.0,8543.0,4101.0
9506.0,7518.0,4050.0
8374.0,7506.0,4065.0
7282.0,9191.0,4173.0
5835.0,5402.0,4178.0
8938.0,4160.0,7450.0
7461.0,4524.0,8790.0
6971.0,4555.0,9070.0
9324.0,4178.0,7078.0
9373.0,4207.0,7051.0
6772.0,4774.0,8897.0
5082.0,4804.0,6690.0
4893.0,6396.0,8684.0
5044.0,6335.0,8587.0
5634.0,6015.0,4917.0
5476.0,5684.0,5097.0
8730.0,7993.0,3833.0
8748.0,7572.0,4003.0
8981.0,7859.0,3851.0
8080.0,4311.0,8102.0
7909.0,8554.0,4042.0
8356.0,7927.0,3895.0
8129.0,4340.0,8075.0
9221.0,7550.0,4051.0
8555.0,7754.0,4015.0
8224.0,7956.0,3960.0
8035.0,8198.0,4057.0
7903.0,8227.0,4122.0
7324.0,4705.0,8857.0
8181.0,7688.0,4077.0
8096.0,8045.0,4110.0
8049.0,7717.0,4142.0
7366.0,4768.0,8049.0
7461.0,4733.0,8219.0
8242.0,7535.0,4130.0
5049.0,6380.0,8327.0
5993.0,5226.0,5276.0
