z1,z2,z3
8195.0,10600.0,4247.0
9294.0,4744.0,8882.0
4612.0,9839.0,8840.0
8702.0,10578.0,4300.0
8044.0,10413.0,4326.0
8586.0,10059.0,4342.0
9072.0,9459.0,4361.0
4632.0,9070.0,9895.0
9621.0,9058.0,4493.0
8580.0,4816.0,8962.0
4701.0,7608.0,6931.0
9440.0,8743.0,4611.0
9363.0,4766.0,8572.0
10063.0,8300.0,4723.0
8550.0,4875.0,8835.0
9482.0,4819.0,8405.0
8361.0,4894.0,8883.0
9551.0,4841.0,8095.0
8329.0,4953.0,9078.0
8243.0,4972.0,9613.0
9777.0,8156.0,4812.0
8110.0,5031.0,8999.0
10013.0,8035.0,4907.0
8024.0,5050.0,9534.0
10716.0,4959.0,7577.0
7644.0,11141.0,4521.0
9764.0,7875.0,4993.0
7992.0,5109.0,9729.0
7931.0,5137.0,9033.0
7773.0,5187.0,9650.0
10140.0,7551.0,5022.0
7743.0,5239.0,5967.0
7734.0,5509.0,8603.0
7441.0,5527.0,8976.0
7493.0,10954.0,4600.0
5532.0,7424.0,9832.0
11431.0,4962.0,7118.0
10159.0,7469.0,5177.0
7483.0,10498.0,4809.0
7416.0,10976.0,4840.0
9732.0,7328.0,5209.0
7415.0,5592.0,9278.0
5628.0,7330.0,9971.0
7342.0,10462.0,4865.0
5915.0,5648.0,6869.0
7243.0,10424.0,4876.0
5745.0,7276.0,9916.0
10545.0,7273.0,5228.0
5757.0,7223.0,9739.0
6261.0,7039.0,5270.0
7234.0,10364.0,4915.0
7135.0,10326.0,4926.0
5853.0,7129.0,9878.0
7101.0,10174.0,5109.0
11147.0,5004.0,7093.0
6995.0,10388.0,5118.0
11509.0,5040.0,7092.0
11225.0,5082.0,7067.0
11993.0,5116.0,6623.0
6297.0,7012.0,5313.0
11003.0,6908.0,5357.0
5496.0,8120.0,5132.0
11287.0,6866.0,5382.0
10925.0,6830.0,5383.0
11209.0,6788.0,5408.0
11360.0,6348.0,5438.0
11709.0,5158.0,6598.0
12071.0,5194.0,6597.0
11787.0,5236.0,6572.0
11644.0,6306.0,5463.0
11282.0,6270.0,5464.0
11566.0,6228.0,5489.0
11932.0,6059.0,5615.0
12216.0,6017.0,5640.0
11854.0,5981.0,5641.0
12138.0,5939.0,5666.0
12073.0,5646.0,5941.0
6619.0,5672.0,5938.0
11867.0,5766.0,5890.0
11789.0,5688.0,5916.0
12151.0,5724.0,5915.0
4691.0,9373.0,9070.0
8435.0,9872.0,4421.0
9287.0,9164.0,4505.0
8034.0,9957.0,4535.0
8812.0,9543.0,4545.0
7967.0,10435.0,4566.0
9542.0,9158.0,4518.0
9984.0,8400.0,4748.0
8661.0,9356.0,4624.0
8421.0,10084.0,4450.0
8353.0,9881.0,4453.0
9655.0,8448.0,4755.0
7816.0,10248.0,4645.0
8576.0,9603.0,4551.0
8185.0,10144.0,4456.0
8721.0,9165.0,4703.0
10434.0,4968.0,7830.0
10432.0,5001.0,7552.0
9427.0,9037.0,4688.0
9307.0,8959.0,4707.0
7768.0,10308.0,4723.0
8802.0,9087.0,4754.0
7634.0,10685.0,4730.0
10994.0,5155.0,7057.0
8270.0,9897.0,4529.0
8568.0,9586.0,4597.0
8425.0,9416.0,4630.0
8909.0,8935.0,4774.0
9155.0,4973.0,7939.0
9401.0,8480.0,4783.0
10794.0,5037.0,7551.0
10510.0,5079.0,7526.0
8810.0,8897.0,4785.0
