z1,z2,z3,nondominated
1898,1320,1887,0
1163,1765,1316,0
1703,1079,1728,0
1679,1311,1707,0
1044,1691,1156,0
1946,1002,1890,0
1031,1969,1050,0
1756,1286,1672,0
1088,1700,1064,0
1918,1096,1725,0
1760,1183,1863,0
1198,1934,1213,0
1811,1106,1794,0
1702,1103,1880,0
1846,1159,1826,0
1745,1317,1900,0
1986,1056,1771,0
1313,1785,1244,0
1257,1816,1098,0
1192,1921,1060,0
1083,1701,1142,0
1104,1801,1154,0
1248,1952,1094,0
1135,1744,1087,0
1777,1180,1939,0
1899,1291,1967,0
1750,1145,1869,0
1715,1016,1880,0
1005,1872,1139,0
1994,1157,1997,0
1249,1985,1276,0
1251,1850,1011,0
1030,1773,1022,0
1230,1763,1074,0
1842,1215,1833,0
1780,1253,1750,0
1309,1784,1237,0
1730,1034,1836,0
1274,1811,1059,0
1112,1706,1042,0
1856,1270,1923,0
1127,1797,1019,0
1792,1262,1702,0
1692,1234,1751,0
1692,1274,1975,0
1947,1100,1801,0
1755,1330,1837,0
1098,1841,1307,0
1141,1959,1097,0
1054,1687,1058,0
1932,1178,1802,0
1258,1710,1002,0
1149,1940,1094,0
1721,1256,1707,0
1170,1879,1106,0
1875,1215,1767,0
1996,1061,1796,0
1848,1191,1841,0
1922,1269,1867,0
1005,1814,1031,0
1251,1815,1239,0
1191,1776,1267,0
1757,1183,1950,0
1901,1144,1670,0
1751,1137,1990,0
1186,1939,1058,0
1043,1971,1195,0
1751,1032,1888,0
1029,1992,1182,0
1963,1220,1705,0
1218,1714,1125,0
1059,1729,1175,0
1258,1855,1281,0
1978,1021,1715,0
1786,1012,1790,0
1321,1927,1265,0
1926,1282,1879,0
1714,1136,1717,0
1185,1943,1070,0
1186,1891,1079,0
1810,1228,1971,0
1918,1050,1976,0
1946,1157,1927,0
1829,1161,1743,0
1857,1154,1770,0
1916,1029,1922,0
1726,1102,1730,0
1729,1129,1737,0
1976,1205,1882,0
1983,1225,1976,0
1315,1883,1225,0
1243,1769,1022,0
1294,1982,1125,0
1054,1978,1209,0
1119,1959,1207,0
1332,1809,1099,0
1020,1875,1127,0
1722,1084,1784,0
1990,1101,1721,0
1831,1207,1795,0
172,110,190,1
132,170,119,1
189,102,200,1
180,128,197,0
117,187,116,1
196,105,171,1
104,189,120,1
133,181,116,1
200,104,169,1
190,116,183,1
