z1,z2,z3,nondominated
876,659,310,0
393,916,565,0
900,463,560,0
557,713,755,0
285,584,921,0
537,119,930,0
388,676,852,0
213,512,952,0
461,965,166,0
342,993,202,0
427,968,123,0
875,113,641,0
317,819,735,0
447,951,430,0
644,481,845,0
585,629,804,0
602,608,807,0
154,982,382,0
32,780,734,0
344,328,990,0
901,430,577,0
184,672,866,0
987,391,244,0
724,141,822,0
753,785,98,0
594,729,715,0
170,573,922,0
51,890,587,0
808,721,80,0
812,747,223,0
273,942,538,0
736,686,620,0
705,483,800,0
181,355,989,0
999,284,259,0
734,6,768,1
43,18,98,1
82,26,75,1
39,99,22,1
6,80,73,1
97,37,45,1
78,54,71,1
