z1,z2,z3,nondominated
1403,1878,1631,1
1264,1848,1702,1
1446,1803,1717,1
1314,1229,1997,1
1410,1511,1935,1
1928,1534,1101,1
1976,1428,1314,1
1958,1418,1430,1
1270,1560,1933,1
1541,1299,1940,1
1698,1772,1549,1
1942,1526,1333,1
1329,1976,1423,1
1533,1602,1849,1
1483,1949,1110,1
1614,1706,1721,1
1947,1318,1520,0
1909,1277,1606,1
1630,1897,1259,1
1534,1820,1646,1
1930,1536,1117,0
1148,1695,1845,0
1792,1712,1016,1
1253,1523,1949,0
1867,1510,1589,1
1301,1850,1697,1
1894,1618,1358,1
1972,1398,1390,1
1945,1128,1504,1
1759,1432,1770,1
1701,1050,1815,1
1024,1665,1832,1
1089,1477,1947,1
1679,1799,1527,1
1572,1117,1914,1
1641,1883,1157,1
1286,1598,1913,1
1915,1552,1420,1
1401,1980,1167,1
1322,1996,1230,1
1640,1622,1771,1
1538,1818,1646,1
1297,1943,1532,1
1768,1192,1789,1
1997,1214,1304,1
1698,1845,1160,1
1881,1408,1622,1
1858,1660,1406,1
1700,1337,1844,1
1303,1998,1262,1
1024,1739,1771,1
1730,1586,1718,1
1863,1671,1151,1
1818,1380,1722,1
1807,1704,1463,1
1141,1899,1610,1
1325,1614,1902,1
1593,1694,1747,1
1710,1805,1043,1
1358,1968,1437,1
1583,1146,1914,0
1426,1977,1193,1
1369,1980,1374,1
1882,1385,1630,1
1839,1220,1713,1
1987,1213,1387,1
1564,1913,1095,1
1485,1957,1335,0
1967,1201,1466,1
1177,1811,1742,1
1454,1912,1538,1
1477,1312,1962,1
1656,1701,1691,1
1932,1211,1560,1
1764,1274,1796,1
1985,1363,1152,1
1466,1582,1887,1
1502,1426,1934,1
1649,1882,1195,1
1568,1516,1875,1
1500,1109,1943,1
1411,1980,1189,0
1142,1756,1793,0
1699,1688,1661,1
1495,1902,1528,1
1851,1428,1662,1
1665,1828,1488,1
1578,1262,1924,0
1784,1757,1107,1
1957,1423,1429,1
1999,1250,1294,1
1729,1826,1222,0
1306,1936,1548,1
1915,1369,1575,1
1735,1779,1467,1
1669,1652,1724,1
1697,1849,1307,1
1448,1411,1955,1
1538,1556,1871,1
1854,1691,1199,1
3958,3403,3443,0
3806,3694,3013,0
3937,3518,3112,0
3488,3523,3906,0
3321,3454,3968,0
3418,3795,3736,0
3787,3502,3709,0
3271,3726,3829,0
3764,3796,3270,0
3252,3796,3764,0
