z1,z2,z3,nondominated
242,868,159,0
773,176,952,0
2,801,102,1
228,956,221,0
11,958,70,0
15,971,286,0
274,855,318,0
241,682,324,0
943,305,842,0
69,716,56,0
693,89,805,0
778,79,781,0
836,81,815,0
227,906,161,0
935,132,891,0
761,307,905,0
221,734,176,0
171,852,132,0
764,330,833,0
735,116,688,0
235,810,173,0
854,57,772,0
780,172,753,0
904,34,975,0
704,51,667,0
943,106,820,0
821,114,945,0
170,677,127,0
754,136,700,0
238,726,105,0
989,151,696,0
798,127,796,0
265,789,90,0
997,38,764,0
223,924,261,0
691,171,801,0
943,291,768,0
734,265,924,0
788,17,904,0
2,964,153,0
61,841,84,0
24,770,69,0
676,323,775,0
731,249,907,0
897,127,722,0
947,64,808,0
938,72,991,0
727,61,777,0
797,143,904,0
176,999,35,0
723,308,674,0
149,756,114,0
689,320,733,0
969,14,941,0
31,930,279,0
842,325,962,0
735,255,994,0
32,714,33,0
894,68,826,0
831,296,997,0
150,892,242,0
778,127,915,0
777,16,667,0
868,273,846,0
100,11,98,0
26,81,13,1
76,6,79,1
29,99,33,0
8,87,10,1
24,85,33,1
33,92,5,1
79,32,67,1
