z1,z2,z3,nondominated
-1942,-1728,-1890,0
-1422,-1465,-1940,0
-1795,-1522,-1700,0
-1158,-1818,-1682,0
-1250,-1582,-1778,0
-1542,-1105,-1972,0
-1984,-1749,-1229,1
-1372,-1754,-1014,0
-1730,-1356,-1242,0
-1965,-1704,-1627,1
-1501,-1193,-1209,0
-1253,-1808,-1389,0
-1818,-1499,-1073,0
-1651,-1004,-1221,0
-1617,-1913,-1818,0
-1823,-1948,-1358,0
-1650,-1258,-1616,0
-1264,-1934,-1173,0
-1109,-1290,-1639,0
-1995,-1090,-1232,1
-1031,-1470,-1819,0
-1223,-1612,-1798,0
-1868,-1352,-1449,0
-1904,-1295,-1314,0
-1968,-1306,-1208,0
-1201,-1410,-1392,0
-1883,-1195,-1393,0
-1917,-1551,-1028,0
-1738,-1004,-1170,0
-1449,-1887,-1738,0
-1973,-1840,-1063,1
-1623,-1107,-1771,0
-1458,-1752,-1113,0
-1809,-1547,-1902,0
-1284,-1154,-1385,0
-1917,-1353,-1650,0
-1647,-1965,-1913,1
-1214,-1003,-1413,0
-1689,-1807,-1981,1
-1014,-1780,-1042,0
-1650,-1258,-1616,0
-1315,-1844,-1087,0
-1843,-1393,-1447,0
-1441,-1839,-1332,0
-1214,-1860,-1635,0
-1564,-1938,-1608,0
-1584,-1679,-1401,0
-1034,-1070,-1722,0
-1637,-1253,-1297,0
-1953,-1304,-1426,0
-1276,-1676,-1756,0
-1633,-1727,-1646,0
-1965,-1702,-1480,0
-1566,-1066,-1632,0
-1686,-1576,-1473,0
-1173,-1533,-1468,0
-1528,-1757,-1446,0
-1223,-1907,-1157,0
-1197,-1556,-1744,0
-1463,-1098,-1593,0
-1062,-1103,-1160,0
-1314,-1616,-1462,0
-1952,-1846,-1967,1
-1478,-1809,-1535,0
-1748,-1567,-1345,0
-1005,-1599,-1012,0
-1953,-1632,-1662,1
-1590,-1248,-1383,0
-1846,-1986,-1799,1
-1268,-1714,-1165,0
-1541,-1503,-1648,0
-1269,-1128,-1879,0
-1726,-1213,-1485,0
-1463,-1098,-1593,0
-1870,-1122,-1463,0
-1636,-1270,-1739,0
-1574,-1984,-1062,0
-1853,-1633,-1481,0
-1628,-1810,-1235,0
-1483,-1409,-1547,0
-1438,-1484,-1131,0
-1304,-1285,-1146,0
-1915,-1862,-1085,1
-1083,-1997,-1812,1
-1002,-1540,-1663,0
-1932,-1740,-1034,0
-1707,-1163,-1198,0
-1335,-1150,-1198,0
-1283,-1355,-1776,0
-1635,-1412,-1486,0
-1235,-1084,-1161,0
-1378,-1534,-1937,0
-1940,-1312,-1155,0
-1231,-1267,-1601,0
-1060,-1439,-1393,0
-1529,-1915,-1806,0
-1288,-1325,-1984,1
-1424,-1535,-1321,0
-1966,-1188,-1174,0
-1800,-1121,-1424,0
