z1,z2,z3,nondominated
-365,-991,-264,1
-466,-927,-490,1
-976,-280,-435,1
-961,-292,-486,1
-756,-454,-766,1
-100,-469,-951,1
-514,-892,-534,1
-633,-163,-889,1
-308,-998,-262,1
-207,-299,-997,1
-954,-509,-273,1
-818,-276,-739,1
-405,-588,-902,1
-837,-690,-93,1
-619,-867,-36,1
-768,-745,-28,1
-648,-565,-803,1
-815,-23,-687,0
-709,-823,-407,1
-974,-171,-430,0
-663,-851,-426,1
-616,-734,-692,1
-976,-434,-218,1
-270,-999,-270,1
-487,-952,-130,1
-937,-434,-488,1
-796,-514,-692,1
-544,-936,-323,1
-498,-836,-648,1
-360,-845,-694,1
-615,-502,-855,1
-377,-914,-576,1
-602,-75,-889,0
-549,-427,-915,1
-346,-942,-525,1
-580,-355,-915,1
