z1,z2,z3,nondominated
-315,-934,-168,1
-613,-508,-55,1
-80,-814,-421,1
-286,-230,-476,1
-67,-911,-488,1
-116,-458,-480,1
-73,-810,-435,1
-262,-217,-946,1
-164,-479,-370,1
-143,-312,-745,1
-163,-482,-370,1
-745,-2,-707,1
-475,-403,-146,1
-443,-235,-301,1
-161,-529,-344,1
-631,-502,-53,1
-56,-489,-647,1
-271,-228,-506,1
-556,-194,-288,1
-524,-140,-379,1
-580,-21,-779,1
-725,-226,-215,1
-226,-246,-572,1
-31,-626,-582,1
-747,-173,-272,1
-30,-549,-708,1
-328,-201,-466,1
-295,-162,-841,1
-616,-141,-336,1
-249,-756,-193,1
-29,-588,-870,1
-589,-19,-767,1
-864,-68,-463,1
-265,-201,-906,1
-624,-531,-45,1
