z1,z2,z3,nondominated
-1944,-1239,-1237,1
-1420,-1686,-1079,1
-1343,-1173,-1499,1
-1313,-1981,-1186,1
-1022,-1823,-1587,1
-1344,-1961,-1156,1
-1422,-1514,-1118,1
-1350,-1637,-1126,1
-1960,-1236,-1246,1
-1314,-1720,-1141,0
-1230,-1286,-1473,1
-1335,-1670,-1131,0
-1800,-1020,-1587,1
-1051,-1482,-1797,1
-1041,-1559,-1596,1
-1715,-1149,-1303,1
-1948,-1257,-1221,1
-1405,-1712,-1085,1
-1002,-1691,-1754,1
-1042,-1615,-1544,1
-1078,-1710,-1420,1
-1769,-1094,-1387,1
-1187,-1821,-1260,1
-1323,-1136,-1807,1
-1112,-1851,-1369,1
-1027,-1551,-1750,1
-1507,-1554,-1068,1
-1163,-1708,-1285,1
-1475,-1133,-1424,1
-1046,-1823,-1502,1
-1237,-1757,-1203,1
-1685,-1181,-1265,1
-1432,-1642,-1079,1
-1898,-1090,-1426,1
-1381,-1908,-1116,1
-1850,-1351,-1123,1
