z1,z2,z3,nondominated
-693,-173,-910,0
-858,-32,-868,0
-294,-836,-66,1
-944,-159,-867,0
-931,-262,-788,0
-982,-310,-863,1
-743,-254,-700,0
-942,-94,-990,1
-211,-784,-276,1
-48,-985,-134,1
-202,-856,-146,1
-953,-275,-950,1
-982,-255,-678,0
-882,-149,-747,0
-77,-871,-254,0
-221,-674,-126,1
-670,-45,-735,0
-926,-300,-821,0
-906,-153,-820,0
-809,-302,-669,0
-858,-273,-973,1
-859,-121,-845,0
-107,-805,-284,1
-730,-44,-777,0
-76,-778,-225,0
-272,-839,-64,1
-189,-732,-80,0
-100,-978,-254,1
-689,-206,-869,0
-823,-261,-865,0
