z1,z2,z3,nondominated
490,49,708,1
146,309,706,1
25,796,567,1
881,484,62,0
35,532,707,1
476,282,234,1
275,267,431,1
304,180,943,0
390,176,431,1
755,20,582,1
31,545,709,1
175,593,296,1
648,689,11,1
399,134,508,1
524,140,379,1
328,950,165,0
519,58,920,0
300,384,277,1
26,558,740,1
141,961,369,0
441,263,272,1
301,900,170,0
152,774,300,1
556,27,752,1
668,542,35,1
799,72,436,1
7,674,808,1
153,812,302,0
63,672,463,1
612,445,80,1
717,682,5,1
445,135,451,1
514,746,39,1
356,426,201,1
615,50,520,1
545,35,659,1
97,566,433,1
576,573,43,1
255,218,568,1
362,207,410,1
289,334,332,1
26,649,588,1
2,711,737,1
398,205,376,1
104,373,705,1
723,38,520,1
162,618,305,1
169,295,622,1
779,21,582,0
217,495,291,0
223,417,335,1
273,914,197,1
77,484,558,1
592,45,552,1
96,405,633,1
929,145,346,1
398,253,315,1
116,962,413,0
665,753,6,1
710,623,13,1
33,575,622,1
876,44,533,0
578,62,508,1
820,468,60,1
632,42,535,1
240,256,514,0
726,16,602,1
12,648,823,1
442,556,96,1
686,94,394,1
240,256,514,0
680,596,20,1
322,861,145,1
909,506,60,0
194,598,272,1
664,96,396,0
217,495,291,0
375,132,555,1
442,209,335,1
228,216,690,1
865,73,451,0
393,497,142,1
366,530,146,1
11,659,672,1
462,948,88,0
174,984,332,0
592,54,522,1
544,261,222,1
15,773,609,1
482,639,60,1
807,94,393,1
83,525,495,1
747,33,535,1
752,422,77,1
839,25,584,0
151,308,671,1
981,310,190,1
767,212,230,1
724,667,6,1
588,485,69,1
307,193,983,0
447,210,329,1
26,575,829,0
191,256,684,1
902,412,99,1
70,929,492,0
312,189,516,1
565,853,32,1
461,926,82,1
318,949,172,0
114,359,810,1
430,85,620,1
269,178,795,1
114,802,359,1
67,444,742,1
350,501,168,1
220,222,712,1
203,479,316,1
146,340,917,0
575,29,849,0
525,632,45,1
147,551,353,1
790,453,64,1
313,419,240,1
350,393,227,1
536,216,271,1
301,900,170,0
89,539,468,1
902,120,375,1
788,367,107,1
661,593,23,1
446,199,344,1
664,96,396,0
129,336,813,1
887,392,107,0
394,944,120,0
95,934,437,1
453,66,823,1
5,804,692,1
932,389,120,0
763,713,2,1
838,94,399,0
409,175,413,1
394,677,95,1
1196,1261,1629,0
1420,1345,1214,0
1066,1857,1464,0
1521,1107,1442,0
1578,1102,1416,0
1566,1124,1382,0
1663,1372,1109,0
1177,1487,1346,0
1281,1482,1232,0
1002,1771,1719,0
1130,1472,1434,0
1614,1565,1037,0
